Category,Location,Resource
Housing,San Luis Obispo County,Community Action Partnership of San Luis Obispo County (CAPSLO)
Housing,San Luis Obispo County,Housing Authority of the City of San Luis Obispo (HASLO)
Housing,San Luis Obispo County,Transitions - Mental Health Association (TMHA)
Housing,San Luis Obispo County,5Cities Homeless Coalition (5CHC)
Housing,"San Luis Obispo County, Ventura County",People’s Self-Help Housing Corporation (PSHH)
Housing,Ventura County,Area Housing Authority of Ventura (AHACV)
Housing,Ventura County,Cabrillo Economic Development Corporation
Housing,Ventura County,Many Mansions
Housing,Ventura County,Housing Authority of the City of San Buenaventura (HACSB)
Housing,Santa Barbara County,Habitat for Humanity of Southern Santa Barbara County (HFHSSBC)
Housing,Santa Barbara County,Santa Barbara Community Housing Corporation (SBCHC)
Housing,Santa Barbara County,Housing Trust Fund of Santa Barbara County
Housing,Santa Barbara County,2nd Story Associates
Housing,Santa Barbara County,New Beginnings Safe Parking Shelter and Rapid Rehousing Program
Regional Advocacy & Organizing,"Santa Barbara County, Ventura County",Central Coast Alliance United for a Sustainable Economy
Regional Advocacy & Organizing,Central Coast,Central Coast Social Justice Academy
Regional Advocacy & Organizing,Santa Barbara County,The Fund for SB
Regional Advocacy & Organizing,Santa Barbara County,Mixteco Indigenous Community Organizing Project
Regional Advocacy & Organizing,Central Coast,Lideres Campesinas
Regional Advocacy & Organizing,Ventura County,Buen Vecino
Regional Advocacy & Organizing,Central Coast,REACH (Regional Economic Action Coalition)
Regional Advocacy & Organizing,California,CalNonprofits
Regional Advocacy & Organizing,California,Alliance for Justice
Regional Advocacy & Organizing,California,Public Advocates
Regional Advocacy & Organizing,California,Public Policy Institute of California (PPIC)
Youth and Family,Santa Barbara County,Santa Barbara Chapter of the California Association of Marriage and Family Therapists (SBCAMFT)
Youth and Family,Central Coast,Access Central Coast: Youth Transition Program
Youth and Family,Santa Barbara County,Attitude Harmony Achievement (AHA!)
Youth and Family,Santa Barbara County,Alpha Lifespan Support Services
Youth and Family,Central Coast,Tri-Counties Regional Center
Youth and Family,Santa Barbara County,Family Service Agency
